state,crop_year,season,crop,area,production,yield
Bihar,2009,RABI,MAIZE,6632.0,14179.0,21.379674306393245
Uttar Pradesh,2014,KHARIF,MAIZE,572.0,1017.0,17.77972027972028
Madhya Pradesh,2013,RABI,MOONG(GREEN GRAM),22647.0,8561.0,3.7801916368613946
West Bengal,2003,AUTUMN,RICE,18420.0,51773.0,28.106948968512487
Chhattisgarh,2001,WHOLE YEAR,ONION,421.0,5226.0,124.13301662707838
Assam,2014,WHOLE YEAR,ONION,187.0,648.0,34.6524064171123
Odisha,1997,WHOLE YEAR,POTATO,1659.0,21728.0,130.9704641350211
Karnataka,2012,RABI,MAIZE,292.0,591.0,20.23972602739726
Assam,1997,KHARIF,ARHAR/TUR,1646.0,1110.0,6.743620899149453
Karnataka,2012,SUMMER,GROUNDNUT,14431.0,9665.0,6.697387568429076
Karnataka,2005,KHARIF,ONION,20.0,111.0,55.5
Maharashtra,2004,SUMMER,GROUNDNUT,200.0,100.0,5.0
Madhya Pradesh,2005,KHARIF,MAIZE,2009.0,3517.0,17.50622200099552
Tamil Nadu,2000,KHARIF,URAD,2819.0,1460.0,5.179141539553033
Maharashtra,2011,KHARIF,GROUNDNUT,5800.0,5900.0,10.172413793103448
Odisha,2004,KHARIF,JOWAR,321.0,198.0,6.16822429906542
Uttar Pradesh,1997,KHARIF,ARHAR/TUR,6625.0,10176.0,15.36
Uttar Pradesh,2001,RABI,MAIZE,30.0,49.0,16.333333333333332
Uttar Pradesh,2014,RABI,GRAM,3964.0,5119.0,12.91372351160444
Sikkim,2008,KHARIF,MAIZE,8550.0,25300.0,29.590643274853804
Uttar Pradesh,1999,SUMMER,MOONG(GREEN GRAM),4.0,2.0,5.0
Telangana,2000,KHARIF,DRY CHILLIES,16407.0,54799.0,33.3997683915402
Uttar Pradesh,2007,KHARIF,ARHAR/TUR,617.0,520.0,8.427876823338735
Karnataka,2009,KHARIF,ARHAR/TUR,4385.0,4066.0,9.272519954389967
Odisha,2008,AUTUMN,GROUNDNUT,105.0,98.1,9.342857142857143
Maharashtra,2000,KHARIF,SESAMUM,9600.0,1400.0,1.4583333333333335
Assam,2012,KHARIF,ARHAR/TUR,141.0,118.0,8.368794326241135
Madhya Pradesh,2008,WHOLE YEAR,SESAMUM,108.0,37.0,3.425925925925926
Madhya Pradesh,2000,WHOLE YEAR,DRY CHILLIES,302.0,146.0,4.8344370860927155
Bihar,2008,KHARIF,MOONG(GREEN GRAM),12.0,8.0,6.666666666666666
Chhattisgarh,2008,KHARIF,URAD,2188.0,554.0,2.53199268738574
Chhattisgarh,2007,KHARIF,ARHAR/TUR,589.0,365.0,6.196943972835314
Madhya Pradesh,2011,KHARIF,MAIZE,5848.0,5997.0,10.254787961696305
Odisha,2011,SUMMER,URAD,3.0,1.6,5.333333333333333
Haryana,2011,WHOLE YEAR,POTATO,252.0,5600.0,222.22222222222223
Uttar Pradesh,2008,KHARIF,DRY CHILLIES,76.0,75.0,9.868421052631579
Odisha,2010,WINTER,POTATO,498.0,3995.5,80.23092369477911
Madhya Pradesh,2008,WHOLE YEAR,ONION,106.0,663.0,62.54716981132076
Bihar,2003,RABI,RAPESEED &MUSTARD,1135.0,729.0,6.422907488986784
Rajasthan,2006,RABI,GRAM,15118.0,14957.0,9.893504431803148
Uttar Pradesh,1997,RABI,WHEAT,80275.0,210195.0,26.184366241046405
Gujarat,1998,WHOLE YEAR,ONION,200.0,6500.0,325.0
Uttar Pradesh,2009,RABI,WHEAT,115798.0,302696.0,26.140002418003764
Uttar Pradesh,2010,RABI,ONION,31.0,571.0,184.19354838709677
Karnataka,2004,RABI,MOONG(GREEN GRAM),8.0,2.0,2.5
Karnataka,2010,KHARIF,ARHAR/TUR,2518.0,1545.0,6.13582208101668
Andhra Pradesh,2014,KHARIF,GROUNDNUT,94160.0,67607.0,7.180012744265081
Punjab,2012,KHARIF,RICE,102000.0,444000.0,43.52941176470588
Uttar Pradesh,2000,KHARIF,MAIZE,2050.0,2688.0,13.11219512195122
West Bengal,2005,RABI,GRAM,84.0,59.0,7.023809523809524
Nagaland,2001,WHOLE YEAR,POTATO,350.0,4550.0,130.0
Kerala,2003,AUTUMN,RICE,52811.0,114479.0,21.677112722728218
Bihar,2008,RABI,POTATO,369.0,2790.0,75.60975609756098
Odisha,1999,RABI,DRY CHILLIES,2030.0,1490.0,7.3399014778325125
Telangana,2006,KHARIF,ONION,38.0,572.0,150.52631578947367
Chhattisgarh,2007,RABI,URAD,1716.0,450.0,2.6223776223776225
Gujarat,2006,RABI,GRAM,1800.0,2100.0,11.666666666666668
Tamil Nadu,2004,RABI,GRAM,4146.0,3071.0,7.407139411480945
Uttar Pradesh,2009,KHARIF,JOWAR,8000.0,11601.0,14.50125
Bihar,2008,KHARIF,URAD,49.0,30.0,6.122448979591837
Maharashtra,1998,SUMMER,SUNFLOWER,400.0,300.0,7.5
Madhya Pradesh,2011,KHARIF,RICE,1550.0,2412.0,15.561290322580646
Maharashtra,2005,KHARIF,ARHAR/TUR,3700.0,1900.0,5.135135135135135
Uttar Pradesh,2003,KHARIF,GROUNDNUT,39.0,33.0,8.461538461538462
Gujarat,2012,KHARIF,MOONG(GREEN GRAM),3100.0,1400.0,4.516129032258064
Chhattisgarh,2000,WHOLE YEAR,POTATO,7.0,53.0,75.71428571428571
Telangana,2011,RABI,JOWAR,13021.0,15156.0,11.639659012364643
Uttarakhand,2007,RABI,GRAM,30.0,23.0,7.666666666666667
Chhattisgarh,2013,KHARIF,MOONG(GREEN GRAM),265.0,112.0,4.226415094339623
Assam,2003,RABI,GRAM,67.0,34.0,5.074626865671642
Maharashtra,2009,RABI,MAIZE,500.0,200.0,4.0
Bihar,2005,SUMMER,MOONG(GREEN GRAM),52.0,30.0,5.769230769230768
Odisha,2008,WINTER,MAIZE,1.0,0.6,6.0
Gujarat,2010,KHARIF,ARHAR/TUR,200.0,200.0,10.0
Uttar Pradesh,2004,KHARIF,SESAMUM,844.0,134.0,1.5876777251184835
Rajasthan,1997,KHARIF,GROUNDNUT,4100.0,2800.0,6.829268292682928
Karnataka,2011,KHARIF,DRY CHILLIES,83.0,67.0,8.072289156626507
Gujarat,1998,WHOLE YEAR,DRY CHILLIES,1000.0,1400.0,14.0
Madhya Pradesh,2012,WHOLE YEAR,SESAMUM,716.0,496.0,6.927374301675978
Punjab,1999,KHARIF,MAIZE,4000.0,13000.0,32.5
Chhattisgarh,2001,RABI,MOONG(GREEN GRAM),425.0,98.0,2.3058823529411763
Odisha,2005,SUMMER,MOONG(GREEN GRAM),1457.0,154.4,1.0597117364447495
Punjab,2005,KHARIF,RICE,151000.0,526000.0,34.83443708609271
Karnataka,1998,RABI,RICE,612.0,1336.0,21.83006535947712
Rajasthan,2007,KHARIF,URAD,629.0,333.0,5.294117647058823
Madhya Pradesh,2000,KHARIF,JOWAR,3949.0,2814.0,7.125854646746012
Uttar Pradesh,1998,RABI,WHEAT,102623.0,292601.0,28.512224355164047
Bihar,2002,KHARIF,MOONG(GREEN GRAM),10.0,5.0,5.0
Bihar,2008,KHARIF,MOONG(GREEN GRAM),614.0,320.0,5.211726384364821
Maharashtra,2009,KHARIF,JOWAR,44800.0,49600.0,11.071428571428573
Gujarat,2001,KHARIF,MAIZE,132400.0,284100.0,21.45770392749245
Uttar Pradesh,2009,KHARIF,RICE,152407.0,277533.0,18.20999035477373
Uttar Pradesh,2003,RABI,ONION,4.0,58.0,145.0
Tamil Nadu,1998,KHARIF,ARHAR/TUR,3531.0,1656.0,4.689889549702634
Assam,2001,KHARIF,SESAMUM,71.0,23.0,3.23943661971831
Karnataka,2007,RABI,GROUNDNUT,5985.0,3957.0,6.6115288220551385
Karnataka,2012,KHARIF,RICE,47709.0,148389.0,31.10293655285166
Nagaland,2004,KHARIF,MAIZE,7320.0,13320.0,18.19672131147541
Tamil Nadu,1998,KHARIF,SESAMUM,3917.0,1206.0,3.078886903242277
Madhya Pradesh,2012,KHARIF,GROUNDNUT,3.0,3.0,10.0
West Bengal,1999,AUTUMN,DRY CHILLIES,620.0,442.0,7.129032258064516
Andhra Pradesh,2010,RABI,DRY CHILLIES,2034.0,4153.0,20.417895771878072
Arunachal Pradesh,2004,KHARIF,MAIZE,2740.0,3310.0,12.080291970802918
Punjab,2006,KHARIF,RICE,110000.0,414000.0,37.63636363636364
Andhra Pradesh,2009,RABI,ONION,230.0,5665.0,246.30434782608694
Karnataka,2014,RABI,MAIZE,114.0,385.0,33.771929824561404
Odisha,2008,WINTER,SESAMUM,1082.0,186.1,1.7199630314232903
Madhya Pradesh,2003,KHARIF,ARHAR/TUR,5742.0,3348.0,5.830721003134797
Telangana,2000,KHARIF,RICE,116763.0,290973.0,24.919966085146832
Karnataka,1997,RABI,RICE,83.0,180.0,21.686746987951807
Odisha,2008,SUMMER,WHEAT,1448.0,2618.0,18.08011049723757
Odisha,1997,SUMMER,ARHAR/TUR,2990.0,583.0,1.9498327759197323
Uttar Pradesh,2008,SUMMER,MAIZE,226.0,338.0,14.955752212389381
Rajasthan,2006,WHOLE YEAR,ONION,8800.0,51669.0,58.714772727272724
Karnataka,2005,KHARIF,MAIZE,2480.0,5952.0,24.0
Tamil Nadu,2009,WHOLE YEAR,POTATO,141.0,2590.0,183.68794326241132
Chhattisgarh,2004,KHARIF,SESAMUM,377.0,131.0,3.4748010610079576
Assam,2014,KHARIF,ARHAR/TUR,70.0,62.0,8.857142857142858
Uttar Pradesh,2001,KHARIF,MAIZE,4891.0,8271.0,16.910652218360255
Punjab,2003,RABI,WHEAT,87000.0,307000.0,35.287356321839084
Arunachal Pradesh,2008,RABI,WHEAT,10.0,10.0,10.0
Uttar Pradesh,2009,SUMMER,MOONG(GREEN GRAM),22.0,16.0,7.272727272727273
Gujarat,2010,KHARIF,MAIZE,16700.0,30000.0,17.964071856287426
Andhra Pradesh,2010,RABI,ONION,16.0,209.0,130.625
Bihar,2010,KHARIF,MOONG(GREEN GRAM),47.0,31.0,6.595744680851063
Karnataka,2009,KHARIF,JOWAR,10340.0,7411.0,7.167311411992263
Bihar,2005,RABI,GRAM,201.0,189.0,9.402985074626866
Karnataka,2012,KHARIF,SESAMUM,119.0,39.0,3.277310924369748
Madhya Pradesh,1998,KHARIF,JOWAR,1400.0,1700.0,12.142857142857142
Tripura,2009,KHARIF,SESAMUM,381.0,208.0,5.459317585301838
Uttar Pradesh,2006,KHARIF,SESAMUM,488.0,82.0,1.680327868852459
Karnataka,2002,KHARIF,URAD,419.0,47.0,1.1217183770883055
Karnataka,2013,SUMMER,SUNFLOWER,2.0,2.0,10.0
Assam,2004,KHARIF,SESAMUM,996.0,615.0,6.174698795180723
Nagaland,2013,RABI,GRAM,80.0,70.0,8.75
Meghalaya,1999,WHOLE YEAR,POTATO,110.0,855.0,77.72727272727272
Maharashtra,2004,KHARIF,RICE,162500.0,97600.0,6.006153846153847
Bihar,1999,KHARIF,ARHAR/TUR,200.0,168.0,8.4
Assam,1997,SUMMER,RICE,3820.0,2121.0,5.552356020942408
Rajasthan,2004,KHARIF,ARHAR/TUR,1961.0,414.0,2.11116777154513
Bihar,2009,RABI,MAIZE,1132.0,4070.0,35.95406360424028
Madhya Pradesh,2001,KHARIF,MAIZE,14998.0,30261.0,20.176690225363384
Uttar Pradesh,1997,KHARIF,SESAMUM,546.0,86.0,1.575091575091575
Nagaland,2008,KHARIF,MOONG(GREEN GRAM),70.0,40.0,5.7142857142857135
Odisha,2009,WINTER,MOONG(GREEN GRAM),759.0,264.9,3.4901185770750986
Uttar Pradesh,2006,KHARIF,MAIZE,8.0,7.0,8.75
Nagaland,2003,RABI,RAPESEED &MUSTARD,2600.0,2230.0,8.576923076923077
Andhra Pradesh,2001,RABI,GROUNDNUT,18773.0,29192.0,15.54999200980131
Telangana,2008,KHARIF,GROUNDNUT,29953.0,20608.0,6.880112175741996
Tamil Nadu,2005,KHARIF,JOWAR,1243.0,882.0,7.095736122284794
Gujarat,2007,SUMMER,GROUNDNUT,8400.0,9200.0,10.952380952380953
West Bengal,2011,SUMMER,MOONG(GREEN GRAM),203.0,122.0,6.009852216748769
Uttar Pradesh,2003,SUMMER,RICE,5.0,10.0,20.0
Karnataka,2013,KHARIF,GROUNDNUT,6127.0,4651.0,7.590990696915293
West Bengal,2011,KHARIF,MOONG(GREEN GRAM),120.0,66.0,5.5
Uttar Pradesh,1997,KHARIF,GROUNDNUT,451.0,404.0,8.957871396895786
Karnataka,2009,KHARIF,RICE,39593.0,91024.31,22.990000757709694
Uttar Pradesh,2004,KHARIF,MAIZE,46602.0,81554.0,17.50010729153255
Bihar,2004,KHARIF,MAIZE,8676.0,13003.0,14.987321346242508
Punjab,2001,KHARIF,MAIZE,4000.0,14000.0,35.0
Arunachal Pradesh,2006,RABI,WHEAT,420.0,772.0,18.38095238095238
Telangana,2001,KHARIF,URAD,15914.0,3772.0,2.370240040216162
Uttar Pradesh,2000,KHARIF,URAD,217.0,90.0,4.147465437788018
Haryana,2006,KHARIF,MOONG(GREEN GRAM),266.0,100.0,3.7593984962406015
Gujarat,2011,RABI,RAPESEED &MUSTARD,3500.0,5600.0,16.0
Karnataka,2014,RABI,RICE,6441.0,17690.0,27.464679397609068
Madhya Pradesh,2008,RABI,RAPESEED &MUSTARD,58919.0,58565.0,9.939917513874981
Tamil Nadu,2011,WHOLE YEAR,URAD,2157.0,1261.0,5.846082522021327
Uttar Pradesh,1998,KHARIF,ARHAR/TUR,1434.0,1651.0,11.513249651324966
Maharashtra,2008,RABI,GRAM,27500.0,16600.0,6.036363636363636
Uttar Pradesh,2008,KHARIF,RICE,52426.0,131747.0,25.130088124213174
Odisha,2012,AUTUMN,MOONG(GREEN GRAM),399.0,65.4,1.6390977443609023
Maharashtra,2005,KHARIF,MOONG(GREEN GRAM),8700.0,2400.0,2.7586206896551726
Rajasthan,1999,KHARIF,SESAMUM,7667.0,391.0,0.5099778270509978
Rajasthan,2008,WHOLE YEAR,ONION,7.0,35.0,50.0
Gujarat,2008,KHARIF,GROUNDNUT,1000.0,1400.0,14.0
Telangana,1997,RABI,JOWAR,23400.0,15000.0,6.410256410256411
Mizoram,2001,KHARIF,RICE,7222.0,14496.0,20.072002215452784
Assam,2010,RABI,WHEAT,2110.0,2773.0,13.142180094786731
Rajasthan,2002,KHARIF,GROUNDNUT,2008.0,1996.0,9.9402390438247
Uttar Pradesh,1998,KHARIF,JOWAR,1749.0,1089.0,6.226415094339623
Odisha,2010,SUMMER,SESAMUM,407.0,131.9,3.2407862407862407
Bihar,2007,RABI,GRAM,110.0,109.0,9.90909090909091
Maharashtra,2002,RABI,SUNFLOWER,900.0,500.0,5.555555555555555
Odisha,2007,AUTUMN,SESAMUM,13.0,5.0,3.8461538461538463
Rajasthan,2004,WHOLE YEAR,ONION,709.0,3654.0,51.53737658674189
Gujarat,2006,RABI,GRAM,8600.0,6900.0,8.023255813953488
Manipur,2005,WHOLE YEAR,POTATO,510.0,2670.0,52.35294117647059
Odisha,2013,WINTER,SESAMUM,79.0,12.8,1.620253164556962
Chhattisgarh,2013,KHARIF,MOONG(GREEN GRAM),89.0,22.0,2.4719101123595504
Assam,2008,RABI,WHEAT,1643.0,1292.0,7.863664029214851
Madhya Pradesh,2013,RABI,WHEAT,88617.0,164342.0,18.54520013090039
Assam,2012,RABI,RAPESEED &MUSTARD,4763.0,1328.0,2.7881587234935967
Uttar Pradesh,2012,KHARIF,URAD,4205.0,3339.0,7.940546967895362
Uttar Pradesh,2004,KHARIF,SESAMUM,110.0,18.0,1.6363636363636362
Uttar Pradesh,2011,KHARIF,SESAMUM,864.0,187.0,2.1643518518518516
Karnataka,2005,RABI,DRY CHILLIES,66.0,107.0,16.21212121212121
Chhattisgarh,2012,RABI,WHEAT,8231.0,12401.0,15.066213096829062
Maharashtra,2008,KHARIF,ARHAR/TUR,95300.0,74800.0,7.848898216159497
Chhattisgarh,2014,WHOLE YEAR,DRY CHILLIES,238.0,119.0,5.0
Odisha,2001,KHARIF,SESAMUM,246.0,87.8,3.5691056910569103
Karnataka,2010,KHARIF,SESAMUM,624.0,216.0,3.4615384615384617
Chhattisgarh,2011,KHARIF,SESAMUM,291.0,111.0,3.8144329896907214
Bihar,2008,RABI,POTATO,1635.0,3728.0,22.801223241590215
Arunachal Pradesh,1997,KHARIF,SESAMUM,3.0,2.0,6.666666666666666
Chhattisgarh,2011,KHARIF,SUNFLOWER,14.0,6.0,4.285714285714286
Karnataka,2011,KHARIF,DRY CHILLIES,920.0,743.0,8.076086956521738
Maharashtra,2008,KHARIF,MOONG(GREEN GRAM),44400.0,3000.0,0.6756756756756757
Karnataka,2012,RABI,URAD,1.0,1.0,10.0
Rajasthan,2000,RABI,WHEAT,3342.0,7208.0,21.567923399162176
Odisha,2010,SUMMER,GROUNDNUT,1252.0,1407.2,11.23961661341853
Uttar Pradesh,2013,KHARIF,SESAMUM,638.0,94.0,1.4733542319749215
Kerala,2004,AUTUMN,RICE,1147.0,2943.0,25.658238884045335
Odisha,1999,KHARIF,SESAMUM,19820.0,6340.0,3.1987891019172556
Kerala,2005,WINTER,RICE,1844.0,4758.0,25.802603036876356
Odisha,2011,WINTER,URAD,4803.0,1301.6,2.7099729335831766
Tamil Nadu,2011,RABI,MAIZE,12866.0,82507.0,64.12793408984922
Telangana,2011,RABI,MAIZE,465.0,2237.0,48.10752688172043
Uttar Pradesh,2012,SUMMER,URAD,4070.0,2654.0,6.520884520884521
Bihar,2011,KHARIF,URAD,17.0,15.0,8.823529411764707
Tamil Nadu,2006,WHOLE YEAR,GRAM,5.0,2.0,4.0
Uttar Pradesh,2014,SUMMER,RICE,2.0,4.0,20.0
Rajasthan,1998,KHARIF,MOONG(GREEN GRAM),970.0,101.0,1.041237113402062
Bihar,2010,KHARIF,ARHAR/TUR,122.0,70.0,5.737704918032787
Uttarakhand,2005,KHARIF,ARHAR/TUR,224.0,142.0,6.3392857142857135
Karnataka,2007,RABI,POTATO,790.0,9319.0,117.9620253164557
Andhra Pradesh,2004,KHARIF,MOONG(GREEN GRAM),62.0,23.0,3.709677419354839
Uttar Pradesh,2007,SUMMER,MAIZE,521.0,749.0,14.37619961612284
Uttar Pradesh,2001,KHARIF,RICE,152097.0,280586.0,18.44783263312228
Gujarat,2007,KHARIF,RICE,99800.0,237400.0,23.7875751503006
Haryana,2006,KHARIF,GROUNDNUT,266.0,300.0,11.278195488721805
Mizoram,1998,RABI,RICE,26.0,62.0,23.846153846153847
Odisha,2013,AUTUMN,MOONG(GREEN GRAM),168.0,68.4,4.071428571428572
Odisha,2002,KHARIF,GROUNDNUT,50.0,60.0,12.0
Andhra Pradesh,2002,KHARIF,MAIZE,400.0,388.0,9.7
West Bengal,2013,SUMMER,GROUNDNUT,2259.0,6667.0,29.513058875608674
Uttar Pradesh,2009,RABI,RAPESEED &MUSTARD,2901.0,1714.0,5.908307480179249
Odisha,1999,RABI,URAD,5870.0,3990.0,6.797274275979557
Gujarat,2012,KHARIF,MOONG(GREEN GRAM),2200.0,1000.0,4.545454545454545
Andhra Pradesh,2012,KHARIF,GROUNDNUT,7867.0,22334.0,28.38947502224482
Tripura,2008,RABI,WHEAT,114.0,196.0,17.19298245614035
Chhattisgarh,2005,KHARIF,ARHAR/TUR,3099.0,897.0,2.894482090997096
Uttar Pradesh,2008,KHARIF,GROUNDNUT,2589.0,3917.0,15.129393588258015
Madhya Pradesh,2010,RABI,GRAM,19387.0,20477.0,10.562232423789137
Andhra Pradesh,2006,RABI,ONION,167.0,4075.0,244.01197604790417
Karnataka,1999,RABI,JOWAR,782.0,599.0,7.6598465473145785
